profile,seed,end,cycles,score,alive,deaths,drown,storm,built,lost,produced,relics,cards,min_satiety,min_warmth,min_mood,low_satiety_pct,low_warmth_pct,low_mood_pct,zero_satiety,zero_warmth,zero_mood,sick_pct,wet_pct,idle_pct,deepest_mark,storm_min_mark,storm_below,storm_wet_band,storm_damaged,storm_buildings,cargo,survivor_points,creatures,damage,stolen,flooded_storages,rations,catch,scrap,kelp,driftwood,got_scrap,got_catch,got_kelp,got_salt,got_water,wreck5,wreck6
turtle,111866,ship,12,35,7,0,0,0,3,1,22,0,careful|careful|deep_dive|full_moon|deep_dive|careful|deep_dive|long_breath|full_moon|travel_light|careful|fast_haul,52,63,0,0.00,0.00,12.79,0,0,118,0.00,1.76,64.69,-2,1.57,0,6,0,6,0,35,6,0,0,1,0,1,0,8,28,0,52,32,56,0,0,0
turtle,119785,ship,12,35,7,0,0,0,3,1,22,0,fast_haul|muffled_bell|careful|careful|careful|long_breath|careful|careful|sea_loan|muffled_bell|careful|careful,48,71,3,0.00,0.00,3.98,0,0,0,0.00,0.92,67.49,-2,1.40,0,7,0,6,0,35,6,0,0,1,0,3,0,8,26,0,52,32,56,0,0,0
turtle,127704,ship,12,35,7,0,0,0,3,1,22,0,careful|deep_dive|travel_light|sea_loan|fast_haul|travel_light|muffled_bell|travel_light|careful|sea_loan|careful|muffled_bell,52,85,0,0.00,0.00,13.34,0,0,236,0.00,1.85,66.30,-2,1.36,0,6,0,6,0,35,6,0,0,1,0,1,0,8,31,0,52,32,56,0,0,0
turtle,135623,ship,12,35,7,0,0,0,3,1,22,0,travel_light|full_moon|muffled_bell|the_dash|full_moon|careful|muffled_bell|the_dash|sea_loan|careful|careful|deep_dive,49,83,0,0.00,0.00,14.92,0,0,527,0.00,1.86,63.44,-2,1.44,0,6,0,6,0,35,6,0,0,1,0,1,0,8,29,0,52,32,56,0,0,0
turtle,143542,ship,12,30,6,0,0,0,3,1,22,0,sea_loan|careful|careful|fast_haul|careful|sea_loan|the_dash|careful|careful|careful|deep_dive|muffled_bell,50,89,0,0.00,0.00,31.05,0,0,1945,0.00,1.63,63.05,-2,2.00,0,5,0,6,0,30,6,0,0,1,0,3,0,8,29,0,52,32,56,0,0,0
turtle,151461,ship,12,67,7,0,0,0,3,1,22,0,full_moon|travel_light|careful|fast_haul|careful|careful|deep_dive|deep_dive|long_breath|long_breath|careful|full_moon,50,65,7,0.00,0.00,6.96,0,0,0,0.00,1.72,65.33,-2,1.44,0,6,0,6,32,35,6,0,0,1,0,4,0,8,34,0,52,32,56,0,0,0
greedy,1000,wipe,3,7,1,5,5,0,2,0,2,0,sea_loan|full_moon,60,85,0,0.00,0.00,2.14,0,0,60,0.00,2.64,65.89,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,8919,wipe,3,9,2,4,4,0,2,0,2,0,deep_dive|sea_loan,62,78,0,0.00,0.00,3.96,0,0,116,0.00,4.47,59.99,-4,99.00,0,0,0,0,20,10,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,16838,ship,12,20,4,3,3,0,2,0,14,0,long_breath|travel_light|long_breath|full_moon|muffled_bell|deep_dive|deep_dive|deep_dive|careful|careful|sea_loan|muffled_bell,0,0,0,57.42,30.69,76.99,7044,1381,4132,8.51,1.60,75.34,-4,3.00,0,0,2,6,0,20,6,0,0,1,0,0,48,10,0,44,52,18,32,20,0,0
greedy,24757,ship,12,20,4,2,2,0,2,0,14,0,the_dash|sea_loan|the_dash|full_moon|travel_light|the_dash|deep_dive|deep_dive|full_moon|the_dash|fast_haul|deep_dive,0,0,0,67.04,33.65,91.86,7290,1194,1827,8.86,0.07,76.91,-4,5.00,0,0,2,6,0,20,6,0,0,1,0,0,36,14,0,44,36,17,29,12,0,0
greedy,32676,wipe,3,9,2,4,4,0,2,0,2,0,deep_dive|deep_dive,68,86,0,0.00,0.00,4.83,0,0,116,0.00,5.25,57.52,-4,99.00,0,0,0,0,20,10,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,40595,ship,12,20,4,2,2,0,2,0,14,0,full_moon|fast_haul|careful|full_moon|deep_dive|fast_haul|the_dash|full_moon|the_dash|careful|sea_loan|travel_light,0,0,0,64.72,31.56,79.90,7581,1011,1455,6.91,1.77,73.91,-4,5.00,0,0,2,6,0,20,6,0,0,1,0,0,48,14,0,44,36,18,30,12,0,0
greedy,48514,wipe,3,7,1,5,5,0,2,0,2,0,long_breath|deep_dive,59,88,0,0.00,0.00,2.44,0,0,61,0.00,3.15,58.91,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,56433,wipe,3,7,1,5,5,0,2,0,2,0,fast_haul|deep_dive,55,87,0,0.00,0.00,2.45,0,0,61,0.00,3.02,67.21,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,64352,wipe,3,7,1,5,5,0,2,0,2,0,deep_dive|sea_loan,62,83,0,0.00,0.00,2.24,0,0,61,0.00,2.76,59.27,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,72271,wipe,3,7,1,5,5,0,2,0,2,0,long_breath|full_moon,56,86,0,0.00,0.00,2.39,0,0,60,0.00,2.96,66.83,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,80190,ship,12,20,4,2,2,0,2,0,14,0,deep_dive|fast_haul|long_breath|deep_dive|deep_dive|muffled_bell|careful|sea_loan|deep_dive|deep_dive|sea_loan|deep_dive,0,0,0,63.10,33.12,81.30,7180,1218,1297,8.37,1.77,74.36,-4,3.00,0,0,2,6,0,20,6,0,0,1,0,0,40,10,0,44,40,20,25,12,0,0
greedy,88109,wipe,5,8,0,6,6,0,2,0,4,0,deep_dive|careful|travel_light|careful|deep_dive,0,56,0,18.49,0.00,0.09,118,0,6,0.00,3.98,57.67,-4,99.00,0,0,0,0,27,0,1,0,0,0,8,12,40,10,0,44,40,16,24,12,0,0
greedy,96028,wipe,3,7,1,5,5,0,2,0,2,0,sea_loan|full_moon,60,79,0,0.00,0.00,2.14,0,0,60,0.00,2.50,66.06,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,103947,ship,12,20,4,2,2,0,2,0,14,0,long_breath|travel_light|deep_dive|deep_dive|muffled_bell|deep_dive|full_moon|long_breath|sea_loan|fast_haul|long_breath|travel_light,0,0,0,63.16,15.94,80.03,7344,558,122,3.77,1.32,72.30,-4,3.00,0,0,2,6,0,20,6,0,0,1,0,0,48,10,0,44,36,20,32,12,0,0
greedy,111866,wipe,3,7,1,5,5,0,2,0,2,0,deep_dive|deep_dive,62,84,0,0.00,0.00,2.52,0,0,60,0.00,2.91,59.70,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,14,0,0
greedy,119785,wipe,3,7,1,5,5,0,2,0,2,0,fast_haul|deep_dive,59,87,0,0.00,0.00,2.45,0,0,61,0.00,2.98,67.46,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
greedy,127704,wipe,3,7,1,5,5,0,2,0,2,0,careful|full_moon,64,86,0,0.00,0.00,1.87,0,0,62,0.00,2.66,56.66,-4,99.00,0,0,0,0,20,5,0,0,0,0,8,16,36,10,0,44,24,12,16,14,0,0
greedy,135623,wipe,3,9,2,4,4,0,2,0,2,0,deep_dive|deep_dive,68,84,0,0.00,0.00,4.83,0,0,116,0.00,5.25,58.42,-4,99.00,0,0,0,0,20,10,0,0,0,0,8,16,40,10,0,44,24,12,16,12,0,0
