profile,seed,cycle,deaths,ebb_start_level,at_risk_at_ebb,submerged_samples,submerged_pct,avg_satiety,avg_warmth,avg_mood
turtle,48514,7,0,3.000,0,2,0.1,67.6,92.5,33.6
turtle,48514,8,0,0.000,0,0,0.0,70.3,97.3,27.5
turtle,48514,9,0,0.000,0,0,0.0,70.6,98.9,21.8
turtle,48514,10,0,0.000,0,0,0.0,67.4,99.6,13.7
turtle,48514,11,0,0.000,0,0,0.0,70.1,99.9,5.8
turtle,48514,12,0,0.000,0,0,0.0,56.2,99.4,2.0
turtle,48514,13,0,3.000,0,0,0.0,46.7,96.7,0.0
turtle,56433,1,0,-0.000,0,0,0.0,89.5,99.4,70.0
turtle,56433,2,0,0.000,0,0,0.0,73.8,93.8,75.4
turtle,56433,3,0,0.000,0,0,0.0,79.6,84.3,76.6
turtle,56433,4,0,0.000,0,0,0.0,75.6,81.9,78.3
turtle,56433,5,0,0.000,0,0,0.0,74.4,88.2,78.6
turtle,56433,6,0,0.000,0,0,0.0,72.8,94.8,81.0
turtle,56433,7,0,2.000,0,0,0.0,68.4,96.8,80.5
turtle,56433,8,0,0.000,0,0,0.0,71.5,98.2,82.3
turtle,56433,9,0,0.000,0,0,0.0,69.1,98.3,80.9
turtle,56433,10,0,0.000,0,0,0.0,69.4,98.7,73.8
turtle,56433,11,0,0.000,0,0,0.0,71.7,98.9,71.7
turtle,56433,12,0,0.000,0,0,0.0,68.7,99.4,64.9
turtle,56433,13,0,3.000,0,0,0.0,62.9,96.8,48.2
turtle,64352,1,0,-0.000,0,0,0.0,91.0,99.7,70.0
turtle,64352,2,0,0.000,0,0,0.0,73.0,95.3,72.7
turtle,64352,3,0,0.000,0,0,0.0,76.9,94.0,75.3
turtle,64352,4,0,0.000,0,0,0.0,82.3,99.7,78.7
turtle,64352,5,0,0.000,0,0,0.0,64.3,99.9,82.0
turtle,64352,6,0,0.000,0,0,0.0,81.6,99.6,84.7
turtle,64352,7,0,2.000,0,0,0.0,66.6,99.7,86.0
turtle,64352,8,0,0.000,0,0,0.0,70.8,99.9,85.9
turtle,64352,9,0,0.000,0,0,0.0,69.3,99.7,86.7
turtle,64352,10,0,0.000,0,0,0.0,69.9,99.7,82.6
turtle,64352,11,0,0.000,0,0,0.0,72.3,99.9,81.8
